Res Num,Last Name,Number in Party,Num Kids,Room Pref,AP,TiW,Visit Num,Last Visit,Average Season,Num Complaint,Prev Satisfaction (out of 10),Avg Park Entry (nearest hour),Avg Park Exit (nearest hour),Age Range,Average Room Service Spend,Average In Hotel Spend,Favorite Park,Reservation Made,Income,Race,Home State,Celebrating,Allergies,View Preference,Weight,Sleeping,Web/Phone,Travel Agent,Group Res? (linked res in parens),DDP,Travel Frequency,Favorite Character,Food service preference,Flight Res,Length of Stay,Avg Park Day (nearest hour duration),MMH freq,EMH freq,Elevator Pref,Crib/Rail,Refrigerator,Pool Usage,Frequent Attraction,OCD,Special Event,Special Needs,Grocery Delivery,Typical Stay
1,Odessa Ballweg,4,3,KNS,y,n,7,2003,Regular,13,6,11,16,17 to 57,18,15,AK,Oct,40k,Hispanic,MA,y (graduation),n,Standard,151,EL,P,n,n,y,Occasionally,Donald,QS,JetBlue,7,7,Never,Rarely,None,None,y,Rarely,Soarin',n,y,n,y,SUNSCV
2,Erik Mort,5,2,KNS,n,n,11,1987,Regular,9,7,9,17,22 to 38,22,0,EP,Oct,NR,White,GA,n,n,Courtyard,194,EE,P,n,n,n,Rarely,Launchpad,TS,US Air,3,10,Frequently,Never,None,None,y,Occasionally,Toy Story Mania,n,n,n,n,SUNSSV
3,Margery Bonetti,6,4,2QNS,n,n,10,1998,Regular,0,10,8,17,18 to 37,18,0,MK,Jul,The 1 percent,African American,NY,n,y (animals),Woods,147,EL,P,n,n,n,Rarely,Iago,QS,NA,3,11,Rarely,Never,None,None,y,Frequently,Splash Mountain,n,y,n,n,2QNSWV
4,Malinda Threlkeld,1,1,KNS,n,n,11,2003,Value,6,7,11,19,16,14,10,MK,Jun,65k,Other,VA,n,y (animals),No Pref,196,EL,W,n,y (189),n,Frequently,Scar,QS,JetBlue,3,11,Occasionally,Rarely,None,None,n,Rarely,It's Tough to be a Bug!,n,n,n,n,SUNSWV
5,Jami Student,1,0,KNS,n,n,4,2005,Value,10,10,9,17,21 to 21,7,22,AK,May,100k,White,RI,n,y (animals),Courtyard,158,EL,W,y,n,n,Occasionally,Hook,QS,NA,6,5,Occasionally,Occasionally,None,None,y,Occasionally,Kilimanjaro Safaris,n,n,n,y,2QNSCV
6,Fernando Larocco,5,4,KNS,n,n,1,2006,Peak,8,7,12,16,20 to 69,26,12,HS,May,100k,Other,SC,n,y (animals),Courtyard,183,LL,W,y,n,n,Frequently,Iago,QS,NA,5,4,Occasionally,Rarely,None,None,y,Rarely,Kilimanjaro Safaris,n,n,n,n,KNSCV
7,Neva Gorin,4,4,2QNS,n,n,12,2001,Regular,10,9,10,18,22 to 58,24,27,EP,Aug,40k,Hispanic,AL,n,n,No Pref,186,EL,W,n,n,n,Occasionally,Jafar,QS,NA,8,7,Occasionally,Rarely,None,None,n,Rarely,Mad Tea Party,y,n,y (hearing impaired),y,2QNSSV
8,Harriett Garbett,4,4,KNS,n,n,2,1995,Regular,8,7,8,19,8 to 59,9,14,MK,Aug,100k,NR,SC,n,n,No Pref,178,EL,W,n,n,y,Never,Launchpad,TS,JetBlue,8,7,Occasionally,Occasionally,Near,None,n,Frequently,Spaceship Earth,n,n,n,n,2QSSV
9,Darryl Macke,5,1,KS,n,n,10,2008,Peak,5,9,12,16,2 to 69,15,20,HS,May,100k,Asian,VA,n,n,Standard,201,EL,W,y,n,n,Frequently,Hook,TS,AirTran,3,12,Never,Occasionally,Far,Crib,y,Frequently,Maelstrom,n,n,n,y,2QSCV
10,Edwina Schoenborn,3,3,2QNS,n,n,6,1995,Value,11,6,8,19,3 to 33,11,10,EP,Jul,NR,Other,Europe,n,y (animals),No Pref,172,LL,W,n,n,y,Rarely,Pete,TS,NA,3,5,Never,Rarely,Near,Crib,n,Frequently,Flights of Wonder,n,n,n,n,KNSWV
